    1	           1	        生活用品	   10	          43.50
    2	           2	        生活用品	   21	         469.50
    3	           3	        生活用品	   32	         336.50
    4	           4	        生活用品	   43	           2.50
    5	           5	        生活用品	   54	         171.50
    6	           6	        生活用品	   65	         226.50
    7	           7	        生活用品	   76	         480.50
    8	           8	        生活用品	   87	         360.50
    9	           9	        学习用品	   88	          23.50
   10	          10	        学习用品	   99	          15.50
   11	          11	        学习用品	  110	           6.50
   12	          12	        学习用品	  121	           6.50
   13	          13	        学习用品	  132	           2.50
   14	          14	        学习用品	  143	          28.50
   15	          15	        学习用品	  154	           2.50
   16	          16	        衣服装饰	  165	         501.60
   17	          17	        衣服装饰	  176	        1005.60
   18	          18	        衣服装饰	  187	         952.60
   19	          19	        衣服装饰	  198	         837.60
   20	          20	        衣服装饰	  209	         446.60
   21	          21	        衣服装饰	  220	         401.60
   22	          22	        衣服装饰	  231	         614.60
   23	          23	        衣服装饰	  242	         912.60
   24	          24	        衣服装饰	  253	         163.60
   25	          25	        衣服装饰	  264	         302.60
   26	          26	        衣服装饰	  275	         392.60
   27	          27	        衣服装饰	  286	         431.60
   28	          28	        运动产品	  297	         526.40
   29	          29	        运动产品	  308	         128.40
   30	          30	        运动产品	  319	         305.40
   31	          31	        运动产品	  330	         557.40
   32	          32	        运动产品	  341	          36.40
   33	          33	        运动产品	  352	          81.40
   34	          34	        运动产品	  363	         348.40
   35	          35	        运动产品	  374	         479.40
   36	          36	        运动产品	  385	         322.40
   37	          37	        运动产品	  396	         477.40
   38	          38	        运动产品	  407	         409.40
   39	          39	        居家生活	  418	        2135.20
   40	          40	        居家生活	  429	         994.20
   41	          41	        居家生活	  440	        1803.20
   42	          42	        居家生活	  451	        2911.20
   43	          43	        居家生活	  462	        1422.20
   44	          44	        居家生活	  473	         433.20
   45	          45	        居家生活	  484	        2773.20
   46	          46	        居家生活	  495	        1764.20
   47	          47	        居家生活	  506	         241.20
   48	          48	        居家生活	  517	        1811.20
   49	          49	        居家生活	  528	        1353.20
   50	          50	        居家生活	  539	         968.20
   51	          51	        食用产品	  550	          48.30
   52	          52	        食用产品	  561	          45.30
   53	          53	        食用产品	  572	          63.30
   54	          54	        食用产品	  583	          58.30
   55	          55	        食用产品	  594	          38.30
   56	          56	        饮用产品	  605	          60.50
   57	          57	        饮用产品	  616	         324.50
   58	          58	        饮用产品	  627	         142.50
   59	          59	        饮用产品	  638	         330.50
   60	          60	        饮用产品	  649	         379.50
   61	          61	        饮用产品	  660	         317.50
   62	          62	        饮用产品	  671	         236.50
   63	          63	        饮用产品	  682	         191.50
   63	          64	        电子产品	  693	        3042.50
   64	          65	        电子产品	  704	        1488.50
   65	          66	        电子产品	  715	        1306.50
   66	          67	        电子产品	  726	       10240.50
   67	          68	        电子产品	  737	       10142.50
   68	          69	        电子产品	  748	       10464.50
   69	          70	        电子产品	  759	        3848.50
   70	          71	        电子产品	  770	        8646.50
   72	          72	        智能推荐	  781	       23806.80
   73	          73	        智能推荐	  792	       15891.80
   74	          74	        智能推荐	  803	        6730.80
   75	          75	        智能推荐	  814	       24371.80
   76	          76	        智能推荐	  825	       15351.80
   77	          77	        智能推荐	  836	       15007.80
   78	          78	        智能推荐	  847	       31102.80
   79	          79	        智能推荐	  858	       24394.80
   80	          80	        智能推荐	  869	        3549.80
   81	          81	        智能推荐	  880	       19630.80
   82	          82	        智能推荐	  891	       12624.80
   83	          83	        智能推荐	  902	       24085.80
   84	          84	        智能推荐	  913	       19955.80
   85	          85	        智能推荐	  924	       18757.80
   86	          86	        智能推荐	  935	       11841.80
   87	          87	        智能推荐	  946	        4967.80
   88	          88	        智能推荐	  957	        7377.80
   89	          89	        智能推荐	  968	       13932.80
   90	          90	        智能推荐	  979	       26309.80
   91	          91	        ����	   44	          66.00
   92	          92	        eeee	   44	          66.00
   93                   93          ����                     666               82.90
